GeneID	LOG_count	WT0_count	LOG_rpkm	WT0_rpkm	log2 Ratio(WT0/LOG)	Pvalue	FDR	significant
Unigene0009572	41	87	2.4775	5.233	1.078753202	6.20E-05	0.000243409	yes
Unigene0009573	520	380	27.7696	20.1999	-0.459158245	4.08E-06	1.87E-05	no
Unigene0009574	457	430	20.4063	19.1124	-0.094505668	0.357596607	0.521541677	no
Unigene0009575	440	285	14.3381	9.2445	-0.633186662	1.10E-08	6.51E-08	no
Unigene0009576	375	334	16.441	14.5762	-0.173683392	0.121050139	0.220061013	no
Unigene0009577	423	1152	24.3686	66.0604	1.438762336	4.19E-72	1.37E-70	yes
Unigene0009578	424	302	13.3021	9.431	-0.496171364	6.96E-06	3.11E-05	no
Unigene0009579	79	84	4.268	4.5173	0.081900552	0.755126062	0.890218995	no
Unigene0009580	209	187	10.6889	9.5198	-0.167110223	0.296015894	0.447498582	no
Unigene0009581	237	142	14.4151	8.5972	-0.745642071	1.53E-06	7.37E-06	no
Unigene0009582	570	489	26.606	22.7203	-0.227769745	0.014021799	0.034524084	no
Unigene0009583	352	364	19.7264	20.3051	0.041714439	0.741063487	0.88068773	no
Unigene0009584	646	428	25.0788	16.5393	-0.600570142	6.42E-11	4.49E-10	no
Unigene0009585	1325	587	26.6885	11.7692	-1.181201965	9.61E-61	2.70E-59	yes
Unigene0009586	148	242	15.1245	24.6169	0.702761646	3.46E-06	1.60E-05	no
Unigene0009587	568	406	25.0013	17.7885	-0.491058251	3.18E-07	1.65E-06	no
Unigene0009588	1556	1124	21.767	15.6515	-0.475841656	1.44E-15	1.31E-14	no
Unigene0009589	7	21	1.5566	4.6483	1.578304921	0.012601225	0.031509133	yes
Unigene0009590	1887	4319	85.2872	194.3097	1.187956781	1.51E-171	1.14E-169	yes
Unigene0009591	779	731	44.4171	41.4886	-0.098400227	0.205659783	0.337544486	no
Unigene0009592	21	49	1.7878	4.1524	1.215760073	0.001114982	0.003538067	yes
