ID	logFC
ENSG00000179168	1.3513
ENSG00000198963	4.2696
ENSG00000149150	1.0321
ENSG00000171617	2.3748
ENSG00000133321	-1.1322
ENSG00000135253	3.0249
ENSG00000167081	1.0533
ENSG00000071246	1.5666
ENSG00000153404	-3.3195
ENSG00000162733	1.555
ENSG00000162687	-3.3804
ENSG00000107242	1.0899
ENSG00000124216	1.696
ENSG00000174326	4.5581
ENSG00000163995	1.357
ENSG00000171444	-1.0005
ENSG00000179388	4.1762
ENSG00000198569	1.6567
ENSG00000169330	1.0677
ENSG00000171219	-1.5722
ENSG00000130653	1.2967
ENSG00000101198	2.2571
ENSG00000052344	1.0752
ENSG00000065534	-1.3302
ENSG00000159388	1.2284
ENSG00000264230	-1.6347
ENSG00000143995	-1.0954
ENSG00000133083	3.1976
ENSG00000143127	1.7598
ENSG00000167614	1.6316
ENSG00000136383	1.0666
ENSG00000162004	1.0565
ENSG00000162999	-1.7635
ENSG00000145416	-1.2205
ENSG00000158220	1.0099
ENSG00000169962	1.5479
ENSG00000187642	1.7074
ENSG00000084636	-1.2577
ENSG00000115507	-1.2139
ENSG00000152580	-2.7419
ENSG00000015520	4.688
ENSG00000141052	-2.9179
ENSG00000172296	-1.8987
ENSG00000103876	-1.2082
ENSG00000126803	-1.4719
ENSG00000117016	-1.4243
ENSG00000149418	-1.8984
ENSG00000266714	1.2426
ENSG00000163806	1.2325
ENSG00000136244	3.1169
ENSG00000168646	-2.5809
ENSG00000147586	-1.0181
ENSG00000263155	1.1791
ENSG00000089820	1.7598
ENSG00000172878	-1.1295
ENSG00000077009	3.6645
ENSG00000148680	6.3752
ENSG00000147394	-1.1945
ENSG00000138100	2.7784
ENSG00000166257	2.321
ENSG00000107742	1.4691
ENSG00000070729	1.0368
ENSG00000104808	4.588
ENSG00000140481	-2.3789
ENSG00000145113	-1.4167
ENSG00000169213	1.6375
ENSG00000163874	2.0076
ENSG00000080031	1.1751
ENSG00000164920	-1.0897
ENSG00000004776	2.8441
ENSG00000171462	1.0452
ENSG00000113504	2.0935
ENSG00000138356	-2.5606
ENSG00000166407	-1.7115
ENSG00000205221	-1.8112
ENSG00000162068	1.098
ENSG00000079150	-1.2161
ENSG00000095596	-3.1887
ENSG00000010030	5.7876
ENSG00000129028	1.0123
ENSG00000187193	1.3954
ENSG00000155428	2.4833
ENSG00000158023	1.5049
ENSG00000185862	1.8755
ENSG00000135604	3.2256
ENSG00000166922	2.0809
ENSG00000160472	2.8382
ENSG00000108309	1.7817
ENSG00000160223	1.7555
ENSG00000156453	1.0452
ENSG00000168952	-1.6684
ENSG00000163132	1.0288
ENSG00000162892	5.0299
ENSG00000126010	2.2365
ENSG00000166670	4.531
ENSG00000011465	-2.2065
ENSG00000196338	1.4725
ENSG00000160471	2.1873
ENSG00000161243	1.3164
ENSG00000171303	-1.2681
ENSG00000132016	1.4361
ENSG00000070190	-2.429
ENSG00000163235	1.0063
ENSG00000103269	1.2364
ENSG00000178809	1.8374
ENSG00000167588	-1.5989
ENSG00000197599	2.4203
ENSG00000096395	4.1926
ENSG00000128271	2.2528
ENSG00000149527	2.9519
ENSG00000211448	-1.043
ENSG00000007314	2.1667
ENSG00000170458	2.107
ENSG00000153233	2.6036
ENSG00000104327	2.127
ENSG00000258102	1.0399
ENSG00000078114	-1.2062
ENSG00000080573	4.6182
ENSG00000115295	2.1234
ENSG00000197943	1.1329
ENSG00000123700	1.377
ENSG00000169583	-1.8267
ENSG00000164037	2.1374
ENSG00000007516	1.0719
ENSG00000127084	-1.1163
ENSG00000100253	4.77
ENSG00000129450	5.7513
ENSG00000172771	1.9791
ENSG00000108602	-1.1178
ENSG00000131067	1.8491
ENSG00000170681	1.5463
ENSG00000142513	2.2492
ENSG00000176842	1.3799
ENSG00000105695	-2.6537
ENSG00000173918	-1.0787
ENSG00000005001	2.8594
ENSG00000204390	1.4027
ENSG00000117148	-1.4943
ENSG00000066468	-1.437
ENSG00000182511	1.9949
ENSG00000116299	-1.1747
ENSG00000223802	1.2559
ENSG00000179776	-1.0297
ENSG00000100385	1.7226
ENSG00000182687	1.8502
ENSG00000196189	4.0511
ENSG00000235387	-1.7525
ENSG00000181016	1.1346
ENSG00000173269	-1.6153
