id      	A1	A2	A3	B1	B2	B3	C1	C2	C3
Unigene0000051	24.5341	24.9592	25.5543	27.6783	27.1806	28.6294	50.6375	41.6544	39.0595
Unigene0000052	0.34	0.5187	0.5501	0.2077	0.4576	0.0987	0.0342	0	0.1015
Unigene0000053	10.6865	12.3607	10.971	6.248	8.3856	6.4819	1.4962	1.4616	1.2829
Unigene0000054	0.3004	0.125	0.0456	0.0917	0.3032	0.0436	0.3325	0.4872	0.2392
Unigene0000055	9.427	12.3614	11.034	14.3678	12.0547	14.375	6.2344	8.907	10.9494
Unigene0000056	0.0261	0.0761	0	0	0	0.0354	0	0	0
Unigene0000057	2.749	2.1602	1.6229	1.5697	2.694	1.5201	0.8615	0.9503	1.3933
Unigene0000058	6.4292	6.0153	9.3821	3.233	3.6184	3.7864	12.1888	16.6611	18.1575
Unigene0000059	0.4463	0.1873	0.1366	0.4469	0.4626	0.4904	0.2209	0.1867	0.1681
Unigene0000060	13.1717	7.2472	7.9346	5.9621	11.5001	7.2462	7.2673	6.6716	8.1662
Unigene0000061	8.2269	3.6531	3.7164	5.3011	9.4217	4.4476	2.897	6.1416	4.8175
Unigene0000062	1.1071	0.3738	0.2385	0.1029	0.5182	0.0326	0	0.1987	0
Unigene0000063	0.409	0.7731	0.3504	0.8743	0.9196	0.5177	13.484	19.5691	28.4798
Unigene0000064	6.8	5.5814	5.2686	7.5374	9.6296	7.2684	4.4306	4.4677	5.445
Unigene0000065	0.0342	0.199	0.0725	0.0974	0.0575	0.1157	0.0241	0	0.0476
Unigene0000066	4.8963	2.7048	2.9637	3.0644	4.714	2.9139	2.0758	2.5597	2.0088
Unigene0000067	1.9464	1.7176	2.133	1.9249	2.8255	2.2739	1.0509	1.2599	1.4794
Unigene0000068	9.7962	1.2368	1.1826	0.4316	7.8559	0.5378	0.4119	0.2156	0.9314
Unigene0000069	0	0	0	0	0	0	0.0517	0.0758	0.0768
Unigene0000070	16.4202	13.9676	15.5956	10.9859	16.2425	13.9531	11.0043	14.0915	19.719
Unigene0000071	0	0.0748	0.0273	0.1098	0.2073	0.1044	0	0.0795	0.0805
Unigene0000072	6.3672	2.9531	3.1662	2.1555	5.4919	2.0731	1.2644	1.6561	2.1881
Unigene0000073	5.3668	4.2948	4.2174	2.929	4.3355	3.1317	5.9476	6.2607	6.6408
Unigene0000074	1.8381	0.7857	1.1815	0.3124	2.4507	0.5027	0.1663	0.1044	0.235
Unigene0000075	0.5054	0	0.0325	0.0982	0.6801	0.1557	0	0.1422	0
Unigene0000076	3.9222	3.209	2.6172	1.8766	5.1648	2.24	1.3812	1.619	3.0061
Unigene0000077	7.1936	8.2421	7.8675	9.9888	10.2884	10.5422	7.115	7.2451	7.176
Unigene0000078	2.5479	1.0477	1.0519	1.0843	2.0239	1.3308	0.7103	0.7852	0.9863
Unigene0000079	30.2098	36.4334	28.4459	37.576	27.7006	31.3106	13.2748	12.9757	9.2448
Unigene0000080	10.7328	15.2578	12.0455	14.0969	12.6693	14.6737	7.134	7.8318	8.5623
Unigene0000081	40.8751	27.1885	30.4693	11.3546	48.8106	17.7041	12.4072	12.9712	31.1006
Unigene0000082	0.4929	0.3879	0.2922	0.7024	3.2444	1.2636	0.3002	0.0687	0.232
Unigene0000083	17.3341	8.7611	8.3726	5.9562	14.9255	7.2431	6.7295	6.651	7.3526
Unigene0000084	1.0235	0.5929	0.3038	0.847	1.2773	0.7606	0.2674	0.477	0.4831
Unigene0000085	0.0536	0.1561	0.0759	0.1528	1.0462	0.0363	0.1511	0.332	0.1868
Unigene0000086	0.4818	0.3367	0.2182	0.0824	0.3112	0.1436	0.2715	0.2983	0.282
Unigene0000087	0.8214	0.2468	0.1799	0.3484	1.3816	0.1855	0.1377	0.2422	0.3134
Unigene0000088	0.5508	0.0729	0.0177	0.0357	0.2527	0.0339	0	0.0517	0.0872
Unigene0000089	13.0671	12.0832	9.3356	7.9875	10.0835	10.9521	1.7446	1.1504	2.028
Unigene0000090	0.541	0.0973	0.0851	0.1285	1.4965	0.258	0.1411	0.1654	0.2513
Unigene0000091	8.6055	8.9519	8.6037	11.0928	8.4041	9.8603	15.007	13.4667	11.9786
Unigene0000092	0.2056	0	0	0.1172	0.2767	0.1672	0	0.0424	0.0573
Unigene0000093	9.7074	10.7937	10.6289	9.8559	9.4678	10.1544	4.9722	5.961	5.8358
